step,t,steer,throttle,brake
82,4.1000000000000005,0.1903379261493683,0.4270205795764923,0.0
83,4.15,-0.023947786539793015,0.4190449118614197,0.0
84,4.2,-0.20441849529743195,0.4091881513595581,0.0
85,4.25,-0.20441190898418427,0.4110677242279053,0.0
86,4.3,-0.20436428487300873,0.4246062636375427,0.0
87,4.3500000000000005,0.009921437129378319,0.4265255331993103,0.0
88,4.4,0.18987473845481873,0.4123164117336273,0.0
89,4.45,0.19249175488948822,0.4165060818195343,0.0
90,4.5,0.1903090476989746,0.4261065423488617,0.0
91,4.55,0.19027535617351532,0.42505091428756714,0.0
92,4.6000000000000005,-0.024010367691516876,0.42067888379096985,0.0
93,4.65,-0.2044299691915512,0.40590834617614746,0.0
94,4.7,-0.2044074833393097,0.4123290777206421,0.0
95,4.75,-0.20436665415763855,0.42393550276756287,0.0
96,4.800000000000001,-0.20436489582061768,0.42443063855171204,0.0
97,4.8500000000000005,0.009920816868543625,0.42136651277542114,0.0
98,4.9,6.121840840788047e-15,0.4056011736392975,0.0
99,4.95,0.19190743565559387,0.39795249700546265,0.0
100,5.0,0.19180014729499817,0.3945305049419403,0.0
101,5.050000000000001,2.034695112049234e-15,0.40764206647872925,0.0
102,5.1000000000000005,0.18936863541603088,0.3961355984210968,0.0
103,5.15,0.1891874074935913,0.39031267166137695,0.0
104,5.2,0.18941113352775574,0.39751043915748596,0.0
105,5.25,-0.024874581024050713,0.3972688913345337,0.0
106,5.300000000000001,-0.20447476208209991,0.3930702805519104,0.0
107,5.3500000000000005,-0.20444953441619873,0.40031230449676514,0.0
108,5.4,-0.20438596606254578,0.4184521734714508,0.0
109,5.45,-0.2043648362159729,0.4244477152824402,0.0
