step,t,steer,throttle,brake
43,2.15,0.190835103392601,0.3634982705116272,0.0
44,2.2,0.18975308537483215,0.32820063829421997,0.0
45,2.25,-0.024532629176974297,0.30172088742256165,0.0
46,2.3000000000000003,-0.20273804664611816,0.2895280718803406,0.0
47,2.35,-0.20270614326000214,0.2986910343170166,0.0
48,2.4000000000000004,-0.2026115357875824,0.3256428837776184,0.0
49,2.45,0.011674182489514351,0.3453195095062256,0.0
50,2.5,0.1904507577419281,0.3510206639766693,0.0
51,2.5500000000000003,0.19119741022586823,0.37519654631614685,0.0
52,2.6,0.19205743074417114,0.4027175307273865,0.0
53,2.6500000000000004,0.19251126050949097,0.4171123206615448,0.0
54,2.7,0.19277754426002502,0.4255087673664093,0.0
55,2.75,0.19024358689785004,0.424033522605896,0.0
56,2.8000000000000003,-0.02404213324189186,0.42355871200561523,0.0
57,2.85,-0.2022988498210907,0.4125436842441559,0.0
58,2.9000000000000004,-0.2022630125284195,0.422275573015213,0.0
59,2.95,-0.20221489667892456,0.4351784288883209,0.0
60,3.0,0.012070821598172188,0.43586960434913635,0.0
61,3.0500000000000003,0.19277887046337128,0.42555055022239685,0.0
62,3.1,0.192746102809906,0.4245188534259796,0.0
63,3.1500000000000004,0.19306537508964539,0.4345479905605316,0.0
64,3.2,0.1905357837677002,0.4332716166973114,0.0
65,3.25,-0.023749928921461105,0.4233299195766449,0.0
66,3.3000000000000003,-0.20230236649513245,0.41158682107925415,0.0
67,3.35,-0.20230138301849365,0.4118543565273285,0.0
68,3.4000000000000004,-0.20225726068019867,0.42373955249786377,0.0
69,3.45,0.012028461322188377,0.4244784116744995,0.0
70,3.5,0.1922818273305893,0.40985220670700073,0.0
71,3.5500000000000003,0.19241398572921753,0.4140370488166809,0.0
72,3.6,0.1927156299352646,0.4235595762729645,0.0
73,3.6500000000000004,0.19020870327949524,0.4229283630847931,0.0
74,3.7,0.1900739073753357,0.4186624586582184,0.0
75,3.75,-0.024211809039115906,0.40815529227256775,0.0
76,3.8000000000000003,-0.20445457100868225,0.39886459708213806,0.0
77,3.85,-0.20444342494010925,0.40205949544906616,0.0
78,3.9000000000000004,-0.20438989996910095,0.4173337519168854,0.0
79,3.95,-0.20226755738258362,0.4210425615310669,0.0
80,4.0,0.012018158100545406,0.4154399335384369,0.0
81,4.05,0.1896924078464508,0.4065007269382477,0.0
82,4.1000000000000005,0.19223172962665558,0.40826377272605896,0.0
83,4.15,0.1901751160621643,0.42186328768730164,0.0
84,4.2,0.19023147225379944,0.4236496388912201,0.0
85,4.25,0.1900259554386139,0.4171391427516937,0.0
86,4.3,-0.02425975538790226,0.41211003065109253,0.0
87,4.3500000000000005,-0.20445722341537476,0.3981071710586548,0.0
88,4.4,-0.20442867279052734,0.406281441450119,0.0
89,4.45,-0.2043820023536682,0.41957995295524597,0.0
90,4.5,-0.2043747454881668,0.42163869738578796,0.0
91,4.55,0.00991097278892994,0.41997385025024414,0.0
92,4.6000000000000005,0.189656600356102,0.4053567945957184,0.0
93,4.65,0.1898418813943863,0.41126930713653564,0.0
94,4.7,0.19017918407917023,0.4219922721385956,0.0
95,4.75,0.19019369781017303,0.4224635660648346,0.0
96,4.800000000000001,-0.024092024192214012,0.41934734582901,0.0
97,4.8500000000000005,-0.20443105697631836,0.40560126304626465,0.0
98,4.9,-0.2044057697057724,0.41281574964523315,0.0
99,4.95,-0.20436294376850128,0.42498332262039185,0.0
100,5.0,-0.2022499293088913,0.4258165955543518,0.0
101,5.050000000000001,0.012035788036882877,0.4226040244102478,0.0
102,5.1000000000000005,0.18970893323421478,0.4070284366607666,0.0
103,5.15,0.19235728681087494,0.4122426509857178,0.0
104,5.2,0.19019491970539093,0.4224913716316223,0.0
105,5.25,0.19018186628818512,0.42207708954811096,0.0
106,5.300000000000001,-0.024103857576847076,0.4184122085571289,0.0
107,5.3500000000000005,-0.21120072901248932,0.40435048937797546,0.0
108,5.4,-0.08036556839942932,0.4114392101764679,0.0
109,5.45,-0.08036556839942932,0.40448275208473206,0.0
