step,t,x,y,yaw,speed_mps
46,2.3000000000000003,-43.677181243896484,103.65188598632812,-1.6814832938110424,7.420943852891719
47,2.35,-43.71693420410156,103.28339385986328,-1.679139312577609,7.402617926636902
48,2.4000000000000004,-43.77023696899414,102.91905975341797,-1.6899465534392053,7.348714209976216
49,2.45,-43.8345832824707,102.55892944335938,-1.7099282510980698,7.309360962234609
50,2.5,-43.902061462402344,102.20037841796875,-1.7260418404316487,7.297958643650261
51,2.5500000000000003,-43.9600715637207,101.84156036376953,-1.7298405734105378,7.249606911277375
52,2.6,-44.00527572631836,101.48377990722656,-1.719213095922522,7.194564913379377
53,2.6500000000000004,-44.038658142089844,101.126953125,-1.701701213858597,7.165775344812852
54,2.7,-44.06297302246094,100.7705078125,-1.6797122916861398,7.148982480746058
55,2.75,-44.07817840576172,100.41385650634766,-1.6572808852985659,7.151932974620537
56,2.8000000000000003,-44.08530807495117,100.056884765625,-1.6333028481079284,7.152882548898948
57,2.85,-44.09069061279297,99.69884490966797,-1.6165973712220794,7.174912616381749
58,2.9000000000000004,-44.10625076293945,99.34097290039062,-1.6135228849016374,7.155448828111856
59,2.95,-44.134735107421875,98.98531341552734,-1.625251046868183,7.129643170326004
60,3.0,-44.17509841918945,98.63166046142578,-1.6439214040062924,7.128260785984271
61,3.0500000000000003,-44.217952728271484,98.27745056152344,-1.6606893320197038,7.148898885881315
62,3.1,-44.252079010009766,97.92149353027344,-1.6631077486056047,7.15096230590717
63,3.1500000000000004,-44.27273941040039,97.56539916992188,-1.6532014551407825,7.130904000823835
64,3.2,-44.282318115234375,97.20929718017578,-1.6344633205529304,7.133456793992966
65,3.25,-44.28227615356445,96.8525390625,-1.6134856006463763,7.153340179709989
66,3.3000000000000003,-44.281005859375,96.49436950683594,-1.596553888225925,7.17682635155268
67,3.35,-44.289268493652344,96.13555145263672,-1.5948685067300683,7.1762912891925
68,3.4000000000000004,-44.31133270263672,95.77840423583984,-1.6058083730139503,7.152520866292521
69,3.45,-44.3447151184082,95.42281341552734,-1.6256277510043746,7.151043188077931
70,3.5,-44.3813362121582,95.06652069091797,-1.6414232257457435,7.180295603874317
71,3.5500000000000003,-44.40850067138672,94.708740234375,-1.6448966535974794,7.171925928841291
72,3.6,-44.42292022705078,94.3511734008789,-1.6340055231615458,7.152880858091298
73,3.6500000000000004,-44.42555618286133,93.99394989013672,-1.6162900424322841,7.154143272169626
