step,t,steer,throttle,brake
42,2.1,-1.9434688165969986e-15,0.2278505563735962,0.0
43,2.15,-1.2244639464081201e-15,0.23033873736858368,0.0
44,2.2,-1.4849842818083492e-15,0.23187601566314697,0.0
45,2.25,2.924926527855267e-15,0.2315760999917984,0.0
46,2.3000000000000003,-2.657653751678645e-15,0.2319968044757843,0.0
47,2.35,3.4575592680553737e-15,0.23130691051483154,0.0
48,2.4000000000000004,-3.3499649079303962e-15,0.23163923621177673,0.0
49,2.45,-2.3880346942381286e-16,0.23095256090164185,0.0
50,2.5,2.7171726392998365e-15,0.23132698237895966,0.0
51,2.5500000000000003,1.306979249151674e-16,0.2306944727897644,0.0
52,2.6,-9.80427189798815e-16,0.23112092912197113,0.0
53,2.6500000000000004,3.776769139942314e-15,0.2305362969636917,0.0
54,2.7,1.1915310936606361e-15,0.23100261390209198,0.0
55,2.75,-6.609558494289692e-16,0.23045137524604797,0.0
56,2.8000000000000003,-2.1429378758953347e-15,0.2309434562921524,0.0
57,2.85,-2.8825193998345067e-15,0.2304120659828186,0.0
58,2.9000000000000004,-2.883192579269337e-15,0.23091864585876465,0.0
59,2.95,2.6148574120186214e-15,0.2303975522518158,0.0
60,3.0,2.615476804861301e-15,0.23091138899326324,0.0
61,3.0500000000000003,1.881036559153726e-15,0.23039506375789642,0.0
62,3.1,1.8814846395828234e-15,0.2309117615222931,0.0
63,3.1500000000000004,1.8810382532196204e-15,0.23039714992046356,0.0
64,3.2,1.8814869689234284e-15,0.2309146225452423,0.0
65,3.25,1.881041006076699e-15,0.2304002046585083,0.0
66,3.3000000000000003,1.88148951002227e-15,0.23091748356819153,0.0
67,3.35,1.881043335417304e-15,0.230402871966362,0.0
68,3.4000000000000004,1.8814914158464015e-15,0.2309197634458542,0.0
69,3.45,1.881044605966725e-15,0.23040439188480377,0.0
70,3.5,1.8814922628793487e-15,0.2309207171201706,0.0
71,3.5500000000000003,1.881045452999672e-15,0.23040534555912018,0.0
72,3.6,1.881493109912296e-15,0.230921670794487,0.0
73,3.6500000000000004,1.8810460882743825e-15,0.23040610551834106,0.0
74,3.7,1.8814935334287696e-15,0.23092205822467804,0.0
75,3.75,1.8810463000326193e-15,0.23040629923343658,0.0
76,3.8000000000000003,1.8814935334287696e-15,0.23092205822467804,0.0
77,3.85,1.8810463000326193e-15,0.23040629923343658,0.0
78,3.9000000000000004,1.8814935334287696e-15,0.23092205822467804,0.0
79,3.95,1.8810460882743825e-15,0.23040610551834106,0.0
80,4.0,1.8814933216705328e-15,0.23092186450958252,0.0
81,4.05,1.8810460882743825e-15,0.23040610551834106,0.0
82,4.1000000000000005,1.8814933216705328e-15,0.23092186450958252,0.0
83,4.15,1.8810458765161457e-15,0.23040592670440674,0.0
84,4.2,1.8814933216705328e-15,0.23092186450958252,0.0
85,4.25,1.8810458765161457e-15,0.23040592670440674,0.0
86,4.3,1.8814933216705328e-15,0.23092186450958252,0.0
87,4.3500000000000005,1.8810460882743825e-15,0.23040610551834106,0.0
88,4.4,1.8814933216705328e-15,0.23092186450958252,0.0
89,4.45,1.8810460882743825e-15,0.23040610551834106,0.0
90,4.5,1.8814933216705328e-15,0.23092186450958252,0.0
91,4.55,1.8810460882743825e-15,0.23040610551834106,0.0
92,4.6000000000000005,1.8814933216705328e-15,0.23092186450958252,0.0
93,4.65,1.8810458765161457e-15,0.23040592670440674,0.0
94,4.7,1.881493109912296e-15,0.230921670794487,0.0
95,4.75,1.8810458765161457e-15,0.23040592670440674,0.0
96,4.800000000000001,1.8814933216705328e-15,0.23092186450958252,0.0
